SystemID,InstallationDate,SystemSize,TotalInstalledPrice,SalesTaxCost,RebateOrGrant,PerformanceBasedIncentiveAnnualPayment,PerformanceBasedIncentivesDuration,CustomerSegment,ZipCode,State,ModuleEfficiency
NH_PUC_680,10/31/2012,4.8,17930.78,0,3600,0,0,RES,3256,NH,-9999
CA_SMUD_9442,10/26/2015,58.24,217010,6093.098446,9857,0,0,NON-RES,95630,CA,0.167741935
CA-NEM-689929,6/7/2016,4.9,10000,465.8129351,0,0,0,RES,92082,CA,0.145833333
MA_DOER_CEC_62354,4/7/2016,7.8,40170,0,-9999,0,0,RES,2649,MA,-9999
CA_SMUD_14330,8/11/2016,5.98,-9999,-9999,500,0,0,RES,95831,CA,0.163522013
DCPSC_1212,10/31/2013,10.335,-9999,-9999,-9999,0,0,-9999,20008,DC,-9999
MA_DOER_CEC_4964,3/25/2014,6.213,31607,0,2000,0,0,RES,2642,MA,-9999
TX_CPS_7420,12/21/2016,6.12,16503.62,562.1289308,4302.2,0,0,RES,78214,TX,0.157567406
TX_CPS_4162,2/16/2016,9.62,33265,883.6078944,13650.78,0,0,RES,78244,TX,0.157575758
TX_CPS_8523,3/8/2017,11.16,43989,994.8825845,8117.93,0,0,RES,78239,TX,0.18902439
TX_CPS_6428,9/26/2016,4.56,25000,418.8411641,4098.75,0,0,RES,78250,TX,0.173780488
NY_NYSERDA_76599,9/15/2015,4.94,27664,0,1660,0,0,RES,12534,NY,0.162638344
NY_NYSERDA_2705,12/16/2016,5.4,29485,0,2700,0,0,RES,10701,NY,0.220762194
MA_DOER_CEC_29156,2/4/2016,257.04,313588.8,18387.432,-9999,0,0,COM,1453,MA,-9999
MA_DOER_CEC_76825,8/16/2016,8.58,44187,0,-9999,0,0,RES,2632,MA,-9999
Ameren_1589,5/5/2014,25.23,-9999,-9999,-9999,0,0,NON-RES,63103,MO,-9999
OR_DOE_14669,6/8/2017,5.8,18800,0,-9999,0,0,RES,97707,OR,-9999
CA-NEM-601551,4/13/2016,3.12,15974,296.5992566,0,0,0,RES,92109,CA,0.163522013
CA-NEM-610778,8/12/2016,3.3,13250,313.7107522,0,0,0,RES,92130,CA,0.166666667
NY_NYSERDA_27285,7/7/2017,8.4,35784,0,2251,0,0,RES,12211,NY,0.167664671
CO-Xcel-15749,7/17/2013,8.5,33212.37,565.8091706,-9999,0,0,-9999,-9999,CO,-9999
TX_AE_3875,4/9/2015,3.24,13588,324.4740805,3439.26,0,0,RES,-9999,TX,-9999
TX_CPS_7018,11/10/2016,7.56,33680,694.3945615,6741.5,0,0,RES,78245,TX,0.220762194
MA_DOER_CEC_10864,7/30/2013,2395,7544628,218240.8529,-9999,0,0,COM,1364,MA,-9999
PA_DEP_7970,9/18/2012,3.52,36998,366.5881723,2640,0,0,RES,18930,PA,0.176
CO-Xcel-27022,4/2/2013,9.84,36260.4,655.0073222,-9999,0,0,-9999,-9999,CO,-9999
CA_LADWP_6417,5/29/2009,4.95,44650,2003.809054,18116.28,0,0,RES,91436,CA,-9999
CA-NEM-615374,10/14/2016,7.7,24400,731.9917552,0,0,0,RES,92117,CA,0.178571429
NY_NYSERDA_6894,4/13/2015,6.87,33335,0,7897,0,0,RES,10314,NY,0.200613497
MA_DOER_CEC_1617,9/5/2013,9.38,56130.07,0,2000,0,0,RES,1747,MA,0.205521472
CA-NEM-623751,3/6/2017,3.08,4155,286.0297306,0,0,0,RES,92114,CA,0.16969697
NY_NYSERDA_50420,8/1/2014,4,22880,0,1556.21,0,0,RES,11726,NY,-9999
NY_NYSERDA_17124,11/2/2015,4.5,16233,0,630,0,0,RES,11763,NY,0.152439024
CA_LADWP_2523,12/9/2011,1.324833552,16100,238.5177723,2147,0,0,RES,90066,CA,0.142857143
CA_SMUD_575,10/8/2009,3.22,26522,1303.48791,0,1374,5,RES,95826,CA,0.185483871
MD_MEA_3752,11/23/2016,3,19721,0,1000,0,0,RES,-9999,MD,-9999
NY_NYSERDA_55437,10/20/2008,2.16,18360,0,9720,0,0,RES,12204,NY,0.120805369
UT_OED_6434,12/10/2016,7.6,19832,585.2224953,-9999,0,0,RES,-9999,UT,-9999
CO-Xcel-6691,2/22/2011,101.2,218652,9575.694779,-9999,0,0,-9999,-9999,CO,-9999
CA_LADWP_10068,4/19/2013,3.779016274,22032,452.6401795,3968,0,0,RES,91335,CA,0.146341463
CA-NEM-674429,10/16/2014,7.25,-9999,-9999,0,0,0,RES,92021,CA,0.15625
MD_MEA_12078,8/1/2013,11.5,42000,0,1000,0,0,RES,-9999,MD,-9999
CA-NEM-664733,1/27/2014,6.86,-9999,-9999,0,0,0,RES,92129,CA,0.15408805
CO-Xcel-31906,4/6/2016,5.46,23751,288.3601802,-9999,0,0,-9999,-9999,CO,-9999
CA_LADWP_36888,10/26/2017,4.490775531,17500,417.0439336,1123,0,0,RES,91342,CA,0.175595238
CA-NEM-677242,10/31/2014,2.25,-9999,-9999,0,0,0,RES,92123,CA,0.155279503
PA_DEP_4012,11/29/2011,19.74,83884,2619.66284,12370,0,0,NON-RES,19348,PA,0.148734177
TX_AE_145,10/18/2005,3.15,19884.89,1021.017596,14805,0,0,RES,-9999,TX,-9999
TX_IOUs_1077,9/18/2013,5,18000,583.02543,6750,0,0,RES,78552,TX,0.153374233
CO-Xcel-17451,9/5/2013,9.12,46512,607.0799572,-9999,0,0,-9999,-9999,CO,-9999
NY_NYSERDA_72671,11/20/2014,7.75,43400,0,1741,0,0,RES,11767,NY,0.161290323
CA-NEM-656716,1/12/2007,6.88,47799.61,3781.314381,15536.1,0,0,RES,92064,CA,-9999
NH_PUC_2676,5/23/2016,6.9,24641,0,2500,0,0,RES,3824,NH,0.188679245
NY_NYSERDA_69870,10/6/2014,6.12,25308.8,0,6120,0,0,RES,12019,NY,0.156441718
CA_LADWP_25835,3/21/2016,5.713360704,26160,543.1341467,1428,0,0,RES,91331,CA,0.200613497
CA-NEM-669812,11/6/2015,7.08,30312,740.713204,1212,0,0,RES,92122,CA,0.185534591
MA_DOER_CEC_77636,11/7/2003,2.64,17800,0,11880,0,0,RES,2472,MA,-9999
WI_FOE_4206,4/26/2016,7.8,28800,0,2400,0,0,RES,54484,WI,-9999
NY_NYSERDA_31767,11/29/2017,4.48,15450,0,1568,0,0,RES,10941,NY,0.195121951
CA_SMUD_375,3/24/2009,4.995,-9999,-9999,7997,0,0,RES,95758,CA,0.134057971
CO-Xcel-20251,12/5/2014,6.63,29941,417.2290192,-9999,0,0,-9999,-9999,CO,-9999
MA_DOER_CEC_26463,12/8/2014,10.464,51273.6,0,1250,0,0,RES,2494,MA,-9999
CA-NEM-657764,10/2/2013,2.45,-9999,-9999,0,0,0,RES,92021,CA,0.151234568
MA_DOER_CEC_3050,6/8/2010,5.52,48140,0,-9999,0,0,RES,1938,MA,-9999
CO-Xcel-39031,7/19/2017,3.245,14115.75,267.8771644,-9999,0,0,-9999,-9999,CO,-9999
Ameren_370,6/30/2015,6.5,-9999,-9999,-9999,0,0,RES,64024,MO,-9999
CO-Xcel-4984,12/1/2010,0.57,5000,92.73921187,-9999,0,0,-9999,-9999,CO,-9999
MA_DOER_CEC_49461,9/21/2017,9.6,30200,0,-9999,0,0,RES,1742,MA,-9999
NY_NYSERDA_67188,10/15/2012,42.25,280480,0,73937.5,0,0,NON-RES,11361,NY,0.161290323
NY_NYSERDA_30364,8/30/2017,5.22,20880,0,2088,0,0,RES,11414,NY,0.173652695
NY_NYSERDA_50144,5/30/2014,3.57,21348,0,1689.32,0,0,RES,11754,NY,-9999
NY_NYSERDA_11481,12/17/2014,6.5,28730,0,6500,0,0,RES,13365,NY,0.155279503
MA_DOER_CEC_22562,1/19/2016,9.88,55328,0,-9999,0,0,RES,1253,MA,-9999
NY_NYSERDA_72063,11/18/2014,6.75,37800,0,6750,0,0,RES,12533,NY,0.161290323
TX_AE_6211,8/9/2017,6.54,25898.4,583.0225898,3270,0,0,RES,-9999,TX,-9999
CO-Xcel-31820,9/20/2016,9.1,-9999,-9999,0,0,0,-9999,-9999,CO,-9999
NY_NYSERDA_16358,5/5/2015,6,23700,0,3888,0,0,RES,14845,NY,0.154320988
MA_DOER_CEC_7681,9/3/2013,5.145,26239.5,0,2000,0,0,RES,1760,MA,-9999
NY_NYSERDA_5641,4/1/2016,2.6,8856,0,1820,0,0,RES,11411,NY,0.163522013
UT_OED_7620,3/22/2017,4.48,15680,335.2816979,-9999,0,0,RES,-9999,UT,-9999
CA_SMUD_14123,10/3/2016,3.78,3872.4,302.7097345,500,0,0,RES,95828,CA,0.164634146
CA-NEM-611167,9/21/2016,7.41,22563,704.4232345,0,0,0,RES,92124,CA,0.173780488
IL_DCEO_1469,6/10/2015,4.5,12701,457.9026805,-9999,0,0,-9999,-9999,IL,-9999
MA_DOER_CEC_39897,5/13/2016,3.36,9500,0,630,0,0,RES,2575,MA,-9999
NY_NYSERDA_2364,9/26/2016,9.72,41796,0,5832,0,0,RES,13021,NY,0.164634146
WI_FOE_2205,8/18/2003,1.2,-9999,-9999,1755,0,0,RES,54911,WI,-9999
