,Size,price,CleanPrice,efficiency,CostPerKW,IncentivePct,State,zip,Year,ResidentialRate,SolarRadiation,Month,Date,ConstructionPriceIndex,ROIYears
2797,4.148614927,21522.0,20870.2685746,0.183284457,5030.659374716171,0.030282103215314563,CA,91311,2017,18.15,5.75072289156626,9,2017-09-01,127.3,13.204834960733338
2798,8.06,27000.0,27748.506373,0.18902439,3442.74272617866,-0.027722458259259262,CA,92082,2017,18.15,5.75072289156626,9,2017-09-01,127.3,9.03675763458329
2799,9.8,32546.0,33456.094597400006,0.167664671,3413.8872038163263,-0.027963331819578444,CA,92065,2017,18.15,5.75072289156626,9,2017-09-01,127.3,8.961015593208872
2800,7.0,17500.0,18150.067569599996,0.17073170699999998,2592.866795657143,-0.03714671826285715,CA,92019,2017,18.15,5.75072289156626,9,2017-09-01,127.3,6.805942434484502
2801,7.705,26500.0,27215.538660500002,0.195906433,3532.1919092147955,-0.02700145888679245,CA,92672,2017,18.15,5.75072289156626,9,2017-09-01,127.3,9.271550255467355
2802,11.16,45533.0,46569.393439,0.220762194,4172.8847167562735,-0.022761369534184003,CA,92131,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.95328661524453
2803,4.024827953,20137.6,19505.372875,0.173652695,4846.262524205838,0.03139535619934848,CA,91601,2017,18.15,5.75072289156626,9,2017-09-01,127.3,12.720816903278328
2804,5.4,20250.0,20751.4806965,0.220762194,3842.866795648148,-0.02476447883950617,CA,92127,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.0870319440936
2805,6.6,23500.0,24112.920851299998,0.192982456,3653.4728562575765,-0.02608173835319149,CA,91977,2017,18.15,5.75072289156626,9,2017-09-01,127.3,9.589897169915664
2806,7.375,22715.0,23399.8926179,0.17251462,3172.866795647458,-0.03015155702839533,CA,91915,2017,18.15,5.75072289156626,9,2017-09-01,127.3,8.328367966928656
2807,7.28,24250.0,24926.0702723,0.145833333,3423.91075168956,-0.027879186486597936,CA,92069,2017,18.15,5.75072289156626,9,2017-09-01,127.3,8.987326119429808
2808,3.135,13919.0,14210.1374044,0.173780488,4532.739203955343,-0.02091654604497449,CA,92024,2017,18.15,5.75072289156626,9,2017-09-01,127.3,11.897858441599032
2809,5.04,17770.0,18238.048650099998,0.192073171,3618.660446448413,-0.02633925999437254,CA,92123,2017,18.15,5.75072289156626,9,2017-09-01,127.3,9.49851906381176
